,Week,Name1,Score1,Name2,Score2,Type
0,1,Livin on a Prayer,107.47,Ill.  Fantasy Football Team,122.72,Regular
1,1,The Long  Virgins ,137.67,The Grinch,151.86,Regular
2,1,2021 League Champion,191.56,Discharg Coated Cleft Lip,130.37,Regular
3,1,Kobe's Pilot ,123.95,Dictator D*ck  Down ,126.94,Regular
4,1,Titsburgh Feelers,131.38,Hooked on a  Thielen,153.6,Regular
5,2,2021 League Champion,144.19,The Long  Virgins ,177.04,Regular
6,2,Ill.  Fantasy Football Team,124.59,Kobe's Pilot ,138.29,Regular
7,2,Livin on a Prayer,140.22,Titsburgh Feelers,117.77,Regular
8,2,The Grinch,146.01,Dictator D*ck  Down ,178.33,Regular
9,2,Discharg Coated Cleft Lip,127.98,Hooked on a  Thielen,145.92,Regular
10,3,Titsburgh Feelers,121.83,Kobe's Pilot ,160.92,Regular
11,3,Dictator D*ck  Down ,182.61,The Long  Virgins ,117.91,Regular
12,3,Hooked on a  Thielen,128.32,2021 League Champion,113.88,Regular
13,3,The Grinch,135.61,Ill.  Fantasy Football Team,144.87,Regular
14,3,Discharg Coated Cleft Lip,105.01,Livin on a Prayer,123.24,Regular
15,4,Hooked on a  Thielen,117.5,Dictator D*ck  Down ,100.42,Regular
16,4,Kobe's Pilot ,99.56,The Grinch,135.07,Regular
17,4,Titsburgh Feelers,107.51,Discharg Coated Cleft Lip,161.81,Regular
18,4,The Long  Virgins ,129.97,Ill.  Fantasy Football Team,119.84,Regular
19,4,2021 League Champion,145.94,Livin on a Prayer,139.61,Regular
20,5,Discharg Coated Cleft Lip,115.92,The Grinch,121.62,Regular
21,5,Ill.  Fantasy Football Team,132.53,Dictator D*ck  Down ,165.77,Regular
22,5,Livin on a Prayer,138.95,Hooked on a  Thielen,130.1,Regular
23,5,The Long  Virgins ,151.25,Kobe's Pilot ,137.5,Regular
24,5,2021 League Champion,155.17,Titsburgh Feelers,125.41,Regular
25,6,The Long  Virgins ,138.19,Livin on a Prayer,94.89,Regular
26,6,Kobe's Pilot ,143.47,2021 League Champion,156.35,Regular
27,6,Dictator D*ck  Down ,143.04,Titsburgh Feelers,119.14,Regular
